y X_1 X_2 X_3 X_4 X_5 X_6 X_7 X_8
0 1 -0.444 1.835 -1.277 -1.068 1.512 0.152 -1.749
0 1 -0.655 2.221 -0.775 -0.125 1.422 0.849 -1.129
0 1 0.581 -0.016 -0.431 -0.215 1.159 -0.642 -0.692
1 1 -0.272 -0.969 1.184 -0.065 -0.05 0.094 -0.319
1 1 0.231 -1.851 0.643 -0.197 -2.212 2.176 -0.901
1 1 -0.744 -2.407 -0.317 1.544 -0.674 0.509 1.293
1 1 -0.313 -0.867 -1.783 0.831 0.045 1.463 -1.291
0 1 0.427 1.044 -0.269 0.683 -0.58 -0.488 0.001
0 1 0.24 -1.315 -0.594 -0.031 -0.925 -0.341 2.106
1 1 0.542 1.602 0.52 0.258 -1.038 -1.165 0.795
0 1 -0.828 0.745 0.037 -0.569 0.947 -0.577 2.009
0 1 0.136 0.098 -1.303 -0.619 -0.061 0.457 0.85
0 1 -0.232 0.411 -0.326 -0.236 0.77 0.16 1.67
0 1 0.924 -0.683 0.5 -1.012 -1.496 -0.298 2.024
0 1 -0.818 0.364 -0.466 -0.197 -0.042 -1.671 0.621
0 1 0.148 0.405 -0.424 -0.153 0.561 0.481 0.372
1 1 -0.906 1.196 1.285 0.07 -3.239 -0.497 -1.879
1 1 0.83 -0.298 -0.592 0.427 0.117 0.122 1.262
0 1 -0.451 1.002 -2.173 -0.493 0.388 -1.617 1.173
0 1 2.441 2.845 -0.156 -1.539 -0.388 0.925 0.498
0 1 0.878 -0.209 -0.449 -0.097 0.812 -0.041 -0.365
1 1 0.133 -0.165 0.205 1.147 1.977 0.646 0.297
0 1 0.242 -0.727 0.133 0.364 0.56 -1.294 -0.281
1 1 -0.071 -1.157 0.171 0.683 -1.878 2.038 -0.381
0 1 -0.254 0.735 1.633 -1.7 0.281 -2.076 0.094
1 1 -1.287 0.039 0.891 -0.07 1.58 0.517 1.3
0 1 1.692 -0.092 -1.409 -0.339 -0.673 -0.576 -2.251
1 1 -0.642 -0.518 -0.397 2.612 -0.702 -0.188 -0.038
0 1 -1.078 0.085 -0.119 -0.318 0.667 -0.837 0.302
1 1 1.147 -0.206 0.563 0.006 -1.131 0.849 0.587
0 1 1.021 0.663 0.673 -0.928 -0.333 -1.149 0.576
1 1 -0.004 0.591 -0.204 1.416 0.462 0.904 0.282
1 1 1.308 -0.636 -0.273 -1.506 1.716 1.804 0.931
0 1 0.721 -0.296 -0.242 -0.8 0.222 0.192 0.756
0 1 2.123 -0.235 0.507 -0.819 1.298 0.331 -0.228
1 1 -1.558 -1.194 1.265 -0.239 -0.153 -0.617 0.077
1 1 -0.422 1.33 1.253 -0.286 0.985 0.586 0.276
0 1 -0.163 -1.745 -0.892 -0.055 -1.935 -0.709 -1.487
1 1 0.764 -0.665 0.615 -0.598 -1.04 1.204 0.818
0 1 0.186 0.524 -1.875 -1.291 -0.396 -0.366 1.045
1 1 1.163 -0.352 -0.062 1.4 -0.539 0.996 0.006
1 1 0.229 1.159 0.323 0.362 -1.855 0.685 1.382
1 1 0.942 -0.141 0.831 -0.581 -1.123 1.171 -0.242
1 1 1.334 0.666 -0.521 1.761 -0.341 -0.063 -0.362
0 1 -0.631 -1.294 -0.077 0.821 1.324 -1.38 -0.47
1 1 -0.094 0.383 -0.869 0.235 0.323 1.352 0.312
0 1 0.035 -0.536 0.452 0.65 0.16 -0.884 0.056
1 1 -0.898 0.058 1.271 -1.509 0.509 1.188 -1.297
0 1 -0.724 -0.524 -0.674 -0.827 -0.65 -0.692 0.069
1 1 1.54 0.838 0.029 0.74 0.099 1.073 0.428
1 1 1.645 -1.293 1.745 0.053 0.14 1.815 -0.041
0 1 0.184 0.353 -0.782 -0.443 -0.073 0.754 0.222
0 1 1.042 -0.576 -0.497 0.124 1.456 0.45 1.088
1 1 1.539 0.741 1.51 0.409 1.846 0.832 2.118
1 1 -0.623 -0.034 0.946 -0.774 0.544 1.446 0.776
1 1 0.519 0.262 1.872 -0.27 -2.069 -0.552 0.665
1 1 1.051 -0.452 2.389 1.943 -0.777 -1.582 0.496
0 1 0.987 -1.085 -1.125 -0.319 -0.302 -0.767 1.672
1 1 -0.822 -0.417 -0.049 0.581 -1.108 -0.275 -0.204
0 1 0.372 -0.825 -0.737 0.523 1.018 -1.315 -1.98
0 1 0.134 0.042 0.397 -0.154 -0.136 -1.19 -1.134
0 1 1.108 -0.846 1.445 -1.527 -1.058 -0.761 -1.626
1 1 -0.849 -1.078 1.308 0.326 -0.047 0.72 -1.99
1 1 0.573 1.636 0.056 -0.321 -0.584 1.11 0.169
0 1 1.612 -2.255 1.628 -0.177 1.459 -0.028 -0.424
1 1 0.605 -1.243 0.311 0.844 0.486 0.836 0.564
1 1 1.664 0.319 0.461 -2.439 -1.515 1.707 -0.909
0 1 0.757 -0.764 0.287 -1.922 -1.867 -1.718 0.138
0 1 0.514 0.461 -1.063 0.022 0.582 -0.005 -0.263
1 1 0.601 -2.062 0.5 -0.186 -0.565 0.725 0.085
0 1 0.73 -2.519 -1.031 -0.108 1.018 0.133 -1.054
1 1 -0.531 -0.947 -0.016 0.147 0.043 0.626 0.658
1 1 0.503 -2.014 0.129 1.04 -1.266 0.952 -0.349
0 1 -1.709 -0.091 -1.246 -2.536 -0.027 -1.187 2.32
1 1 -0.369 0.506 1.158 0.91 -1.301 0.17 -0.336
0 1 0.302 0.463 0.513 -1.824 -0.487 -0.454 0.999
0 1 0.165 -0.303 -0.647 0.819 -0.71 -1.989 1.186
0 1 -1.174 -1.86 -0.22 0.338 0.287 -1.185 1.282
0 1 1.231 0.69 0.079 0.05 1.659 -0.094 0.291
1 1 -0.97 0.18 0.597 -0.219 -0.331 1.825 1.49
0 1 -0.203 -0.341 0.113 -0.341 0.491 -0.897 0.159
0 1 -0.761 0.074 -0.989 0.014 0.155 -0.262 -0.716
0 1 -0.865 0.645 -0.116 -1.781 1.187 -0.989 0.091
0 1 1.153 0.432 -0.831 0.517 -0.189 0.426 1.719
0 1 0.574 0.316 -1.049 0.589 0.073 0.092 -0.077
1 1 -0.617 0.945 0.259 -1.611 0.128 1.722 0.919
0 1 1.132 0.43 0.147 1.295 -0.295 -1.699 0.356
1 1 0.612 -0.432 0.044 0.066 0.458 1.286 -0.242
1 1 -0.694 -0.353 0.886 0.355 0.609 0.301 -0.381
1 1 0.775 -1.596 0.678 1.176 0.157 1.441 0.265
1 1 0.283 1.539 0.701 0.883 0.027 0.072 -0.396
0 1 0.975 0.689 0.051 -0.66 0.683 0.655 1.332
1 1 0.899 0.425 -0.128 -0.305 1.33 0.828 2.294
1 1 -0.446 1.421 0.868 0.361 -0.202 1.367 0.702
0 1 0.275 -0.546 -0.392 0.303 -0.301 -1.054 1.031
1 1 0.682 0.918 0.97 0.013 -0.681 -0.646 0.319
1 1 -0.18 -0.891 -0.744 -1.48 1.474 2.1 0.863
0 1 2.751 -1.012 0.644 0.641 0.249 0.556 -0.357
1 1 0.955 0.888 1.525 -2.14 0.159 2.293 -0.017
1 1 0.082 -0.672 2.024 0.549 -0.725 0.408 -0.141
0 1 -0.143 -0.884 -1.239 -1.116 0.897 0.462 -0.584
0 1 0.039 -0.379 0.395 -0.222 0.672 -0.348 -0.22
0 1 0.208 -1.927 0.991 -0.453 1.317 -0.293 -0.178
1 1 -2.55 2.122 0.764 0.029 1.446 0.03 0.187
0 1 0.699 -0.923 -0.612 -0.363 -0.99 -0.618 0.786
0 1 1.129 0.454 1.448 -0.614 1.037 -1.492 -2.123
1 1 -0.469 -1.312 1.009 -0.182 0.625 -0.468 0.933
0 1 1.247 0.521 -0.267 -0.264 1.462 0.446 1.265
1 1 -0.474 1.427 -0.777 0.056 0.611 1.919 0.111
0 1 0.066 0.001 -2.056 -1.489 -0.345 -0.57 -1.346
1 1 0.019 -0.317 1.12 0.271 -0.413 0.472 0.874
1 1 -0.659 -2.109 1.719 1.247 0.621 -0.865 -0.253
1 1 -0.725 0.706 0.932 -0.474 0.116 -1.361 0.692
0 1 -1.226 -1.052 0.007 -0.127 -0.381 -1.197 1.785
1 1 0.385 0.985 0.671 -0.231 -0.762 2.21 -1.735
1 1 -0.224 -0.256 0.137 0.385 0.741 0.759 -0.177
1 1 -0.128 -0.041 -0.152 1.143 -1.845 -0.295 -0.759
0 1 -0.028 -1.179 -0.533 -2.07 0.276 1.099 0.411
1 1 0.865 -0.157 -1.423 0.86 -1.611 1.567 0.525
0 1 -0.306 -1.564 0.302 0.539 -0.637 -1.573 -0.054
0 1 1.118 0.293 -1.199 -1.125 -0.054 0.578 0.06
1 1 2.073 1.322 0.052 -0.43 -0.4 1.796 0.489
0 1 -0.058 -0.584 -1.477 0.076 2.329 -2.141 0.606
1 1 1.939 0.591 2.058 0.556 0.606 0.83 0.306
1 1 0.752 -1.606 -0.207 -0.054 -1.562 0.728 -1.294
1 1 0.827 1.194 0.729 1.958 1.565 2.19 0.243
1 1 0.551 0.078 0.451 -0.973 0.282 0.283 0.321
1 1 -0.684 0.668 2.037 0.629 -0.047 -1.189 1.722
1 1 -0.126 0.563 0.878 -0.859 -0.841 1.195 0.195
1 1 1.817 0.103 -1.306 0.034 -1.606 1.759 0.802
1 1 -1.06 0.06 0.455 1.019 -1.513 0.094 0.443
1 1 0.779 1.099 1.3 -1.561 -0.592 -1.229 2.704
0 1 -0.772 0.372 1.153 -1.597 0.692 0.452 -2.393
1 1 0.115 0.299 -0.15 0.034 -0.569 0.692 -1.082
1 1 -0.246 -1.098 -0.277 1.184 0.398 0.6 -1.198
1 1 -0.644 -1.384 1.806 -0.219 1.332 0.701 2.286
1 1 -0.094 0.853 -0.113 1.379 -0.263 -0.461 0.986
0 1 0.302 0.62 -2.468 0.209 -1.727 -0.846 2.443
0 1 0.871 -0.982 -2.812 -0.845 -0.298 3.245 -0.654
0 1 0.944 -1.253 -1.769 0.427 -0.463 0.642 0.001
1 1 1.35 -1.77 -0.018 -0.096 0.158 1.263 0.171
1 1 1.542 1.881 0.252 0.161 -2.187 1.622 -1.242
0 1 -0.432 2.379 -1.458 0.81 -0.515 0.147 -1.003
1 1 -0.308 0.232 1.18 -0.378 -0.878 0.694 0.389
0 1 0.733 -0.787 1.282 -1.43 0.621 -0.607 1.473
1 1 1.027 -1.269 0.406 0.097 -2.802 -0.397 0.423
0 1 -1.986 0.165 -1.565 -1.555 0.192 -1.808 0.079
1 1 -1.193 1.312 1.588 -0.334 -1.037 1.415 -1.057
0 1 -2.169 -2.678 0.25 0.256 -0.711 -1.847 -1.161
1 1 -0.404 1.167 -0.329 0.802 -0.005 -0.136 0.82
0 1 -0.862 -0.429 1.261 -1.5 0.602 0.345 -1.445
0 1 0.552 1.436 -0.601 -0.844 1.871 0.774 -1.271
0 1 0.099 -0.908 -0.682 -0.298 -0.037 0.617 0.355
0 1 0.398 -2.975 -0.224 -0.709 -0.935 -0.564 -0.015
0 1 0.682 -0.98 -1.881 -0.574 -0.888 0.688 -0.169
1 1 -0.358 -0.67 -0.404 1.008 0.896 0.136 -1.732
1 1 -0.981 0.805 1.585 -0.163 -0.351 0.489 0.194
0 1 -0.673 0.679 -0.961 -2.289 -1.711 0.81 -1.42
1 1 0.353 -1.349 0.301 -0.432 -1.361 0.944 -0.912
1 1 -1.356 -0.428 0.11 0.727 0.025 -0.397 0.591
0 1 -2.651 -0.631 1.182 -0.423 0.862 -1.584 -0.13
1 1 0.048 1.215 1.181 -0.634 0.265 -0.632 1.199
1 1 -0.637 -0.548 -0.333 -0.3 1.064 2.223 -0.007
1 1 -0.552 0.511 0.38 0.948 3.022 1.283 -0.941
1 1 0.245 -0.12 1.553 0.262 -0.22 1.038 -0.174
0 1 -0.668 -0.926 -2.27 -2.273 -0.001 1.016 -0.553
1 1 0.907 0.001 -0.673 0.188 -0.644 2.156 2.13
1 1 -0.161 1.495 1.066 0.185 0.686 2.001 -0.931
0 1 -1.059 -1.106 -0.703 -0.776 -0.34 -0.384 -0.297
0 1 -0.362 0.092 -0.94 -1.123 0.262 -1.751 0.832
1 1 0 -0.143 -0.579 1.49 1.001 0.454 0.743
0 1 0.157 0.516 -0.089 -1.904 0.379 0.823 0.267
1 1 0.75 -0.812 -0.727 0.404 -1.968 0.312 0.818
1 1 0.694 -1.315 -0.105 0.538 -0.352 2.552 -0.984
1 1 -2.223 1.839 1.003 -1.361 0.196 0.614 -0.134
0 1 1.009 -1.015 1.055 1.05 1.534 -1.09 0.416
1 1 0.367 -0.54 -2.287 -0.788 -2.268 1.118 2.149
1 1 0.471 -0.107 1.545 -0.043 -0.604 -0.069 -0.603
0 1 -1.376 1.131 -1.113 0.819 -0.9 -1.073 0.356
0 1 0.863 -0.768 -2.045 -0.02 0.792 -0.574 1.339
0 1 -0.588 -0.457 -0.374 -1.11 0.21 -0.441 -1.319
1 1 -1.555 3.971 -1.62 0.679 0.613 1.565 1.255
1 1 -2.224 1.07 -0.128 1.577 1.177 0.622 1.992
1 1 1.013 0.604 1.718 -1.72 -0.387 0.57 -0.472
0 1 0.779 -1.443 -0.883 -0.024 -0.32 -1.186 0.235
1 1 -0.591 0.931 0.778 0.006 1.234 1.013 1.623
1 1 -0.858 -0.016 -0.021 -0.115 -0.209 0.445 -0.429
0 1 -1.06 -1.213 -0.617 0.355 1.061 0.269 0.632
1 1 0.394 1.251 2.222 0.51 -1.382 0.175 0.321
1 1 0.052 -1.621 0.033 0.704 -0.417 0.268 -0.453
0 1 -0.031 -1.288 -2.038 -0.349 -0.18 -2.068 0.885
1 1 -2.049 -1.09 -0.066 0.389 -0.071 0.647 -0.091
1 1 0.734 0.495 1.108 1.564 0.434 -1.117 1.502
1 1 -1.178 0.833 -0.162 1.543 -0.996 -0.94 -1.658
1 1 1.73 -0.06 2.713 1.296 -1.522 1.015 0.831
0 1 0.734 -1.921 -0.467 -0.667 -0.586 -0.277 -0.442
1 1 -0.364 1.311 0.726 0.237 0.587 0.427 -0.552
0 1 0.659 0.465 -0.758 -1.727 -1.806 0.084 0.682
1 1 0.339 -1.221 -0.085 0.591 -0.566 1.253 -1.326
0 1 -1.254 1.094 -0.89 0.662 -0.578 -0.74 -0.347
1 1 -0.352 -0.421 0.754 -0.492 0.667 0.511 1.144
1 1 -2.11 0.29 1.685 2.365 -1.898 -1.735 -1.651
0 1 1.132 0.063 -0.307 0.621 -0.767 0.085 0.112
1 1 0.535 0.256 0.064 1.065 -1.117 0.306 -0.425
0 1 -0.665 1.114 -0.876 -0.819 0.389 0.134 -1.977
0 1 1.033 0.112 -0.073 -2.47 0.799 -0.832 0.259
0 1 0.36 0.595 -0.003 1.006 -0.484 -1.017 -0.37
1 1 -0.08 -0.357 0.106 0.562 0.139 1.579 0.236
1 1 0.297 -1.22 -0.266 0.225 -0.125 -0.224 1.523
0 1 0.002 -1.103 -0.939 -1.204 -0.573 -1.918 -0.507
0 1 -0.743 0.514 -1.343 -1.17 -0.396 -0.114 0.578
0 1 1.015 -0.75 -1.712 -1.19 0.677 -0.612 0.325
1 1 0.717 0.004 1.346 1.033 0.601 0.086 -1.031
1 1 1.03 1.309 -0.342 -0.937 -1.031 -0.148 1.389
0 1 -0.823 -0.513 -1.966 0.968 -0.928 0.63 -2.051
1 1 0.475 -0.873 -0.522 1.321 0.166 -0.338 0.794
0 1 0.504 -1.078 -0.537 0.284 1.449 0.019 -0.262
0 1 0.137 -0.769 -1.615 1.816 -0.111 -1.443 -1.362
0 1 -0.655 0.148 -0.133 -1.569 0.481 0.246 0.828
1 1 -0.364 0.77 -0.233 -0.087 0.17 0.485 -0.229
1 1 0.192 -0.385 1.851 0.864 -1.057 1.327 -0.215
0 1 0.386 1.121 -0.748 -0.489 -1.001 -0.406 -0.591
1 1 0.278 -0.539 0.547 -1.004 -0.477 0.595 -0.556
0 1 -0.529 0.44 -1.247 -0.697 -0.418 -1.111 0.752
1 1 1.16 0.006 -0.951 1.032 -0.511 0.302 0.438
1 1 1.867 0.237 -0.618 3.5 1.681 -0.102 -0.418
1 1 0.728 -1.287 0.36 1.23 1.091 0.477 -0.129
0 1 0.508 -0.494 -0.995 -0.256 -0.135 -0.484 0.365
0 1 0.287 -1.684 -1.412 1.012 -0.165 -0.92 -1.035
0 1 0.652 0.51 -0.097 -0.015 -0.015 -0.68 -0.635
0 1 -1.679 -0.224 -1.678 -0.698 0.259 0.693 -0.031
1 1 -0.007 0.817 0.517 -0.777 -0.108 0.668 -0.64
0 1 0.673 0.493 -1.167 -0.998 -0.465 0.024 -0.066
1 1 -1.252 -0.561 0.225 -0.065 -1.15 0.601 1.356
0 1 -0.219 -1.284 0.899 -1.355 1.221 -1.402 1.103
1 1 -0.028 -0.496 0.014 0.772 0.178 0.504 1.744
1 1 -0.088 -1.627 1.176 2.094 -1.162 0.27 0.104
0 1 0.631 -0.055 -0.063 -0.726 0.65 -0.181 -1.733
1 1 -0.475 0.53 0.983 -0.088 -1.104 0.423 -0.265
0 1 1.046 -0.308 0.035 -0.692 0.907 1.03 -0.571
0 1 -0.586 1.688 -0.32 0.06 0.364 -0.542 -0.461
0 1 -0.1 0.87 -1.155 1.122 0.125 -2.312 -2.288
1 1 0.586 1.436 1.772 -0.131 -0.977 1.644 -0.552
0 1 -1.241 -1.344 0.186 -0.325 1.509 -0.504 0.83
0 1 0.295 0.346 -0.193 -0.969 0.492 0.356 -0.816
0 1 0.011 -0.192 0.161 0.8 1.149 -2.453 -0.869
1 1 0.404 0.397 -0.399 0.579 -0.377 0.338 -0.125
0 1 -0.431 1.46 -2.385 -0.267 0.54 -0.662 0.461
0 1 -0.37 0.03 -0.898 -0.118 2.331 0.26 1.325
1 1 -1.329 0.341 1.123 -1.243 -0.691 -0.715 2.126
0 1 0.076 -0.83 -2.617 0.195 -1.525 -1.946 0.488
1 1 -1.582 1.17 -1.62 1.282 0.659 0.089 0.297
0 1 0.707 -0.045 -1.271 0.892 0.981 -0.773 1.212
1 1 -1.068 0.541 0.791 1.006 0.242 1.867 -1.357
1 1 -0.446 -0.315 0.444 -0.194 -0.872 -0.459 0.32
1 1 -0.804 0.023 -1.077 0.177 1.228 1.715 1.239
1 1 -0.485 -0.124 0.943 0.912 -0.283 -0.931 -0.515
0 1 0.64 0.43 -0.427 -0.524 0.543 -0.257 -0.198
1 1 1.624 0.053 1.798 -0.435 -0.033 1.662 -0.942
0 1 -0.651 -2.096 0.65 0.407 -0.638 -0.718 -0.72
1 1 -0.044 0.087 1.338 -0.293 0.935 -0.169 0.968
1 1 -1.244 -0.037 -0.303 1.533 -0.118 -0.629 -0.037
1 1 -1.461 0.039 1.462 -0.35 -0.19 -1.194 0.595
1 1 -0.882 1.456 0.654 1.136 0.222 0.776 -1.232
0 1 -0.168 -1.049 0.837 0.394 -0.436 -1.207 0.431
1 1 0.014 -0.646 1.392 0.32 -1.175 0.499 -0.021
1 1 -0.611 0.957 0.447 -0.792 -1.128 0.234 0.105
0 1 0.569 -0.17 -1.196 -0.132 -0.202 0.495 -1.231
1 1 0.21 0.368 0.455 -0.634 0.392 2.658 -0.535
0 1 0.195 -0.976 -0.73 -0.605 -1.28 1.184 -1.763
1 1 0.004 -0.341 1.307 -1.971 0.807 0.531 -1.381
1 1 0.742 0.834 -0.916 -0.086 1.051 1.055 1.805
0 1 0.294 0.367 -1.427 -0.357 -0.853 0.167 -0.669
0 1 -1.142 0.963 -0.233 0.103 -0.274 -0.176 -1.473
1 1 -0.973 -1.136 0.878 -0.994 -0.096 1.199 -2.31
0 1 2.022 0.421 -0.156 -0.467 0.072 1.114 0.536
1 1 -0.292 -0.777 1.608 -0.689 0.188 0.72 0.498
1 1 -0.571 0.522 -1.204 -1.504 -1.606 0.93 0.884
0 1 1.17 -1.141 -1.004 -0.251 0.067 -1.417 -0.238
0 1 1.513 -0.519 0.45 -0.578 0.798 0.193 1.257
0 1 -0.861 -0.989 0.684 -0.925 0.68 -0.764 0.126
0 1 -0.206 0.501 0.946 -1.961 0.956 0.717 -1.377
0 1 0.925 0.777 -1.086 0.364 0.775 -1.54 -0.113
1 1 -0.951 0.115 -0.4 2.267 -0.124 -0.385 1.601
1 1 -0.358 0.105 -1.07 -0.376 -0.979 0.949 0.918
1 1 -1.146 -1.082 0.386 -0.302 -1.028 0.697 0.062
1 1 -0.846 1.375 0.441 -0.741 1.548 0.812 0.175
0 1 1.293 -0.692 -0.356 -0.387 -1.252 1.281 -1.053
0 1 -0.357 -0.856 -2.071 0.203 -2.69 -1.639 -0.981
1 1 1.526 0.012 -0.21 2.163 -0.505 1.059 0.818
1 1 0.723 1.056 1.424 1.081 -1.73 -0.866 -0.384
0 1 0.094 1.504 -0.804 -0.274 2.089 -1.804 -0.539
1 1 -0.942 -1.03 -0.998 0.19 -1.251 0.542 1.793
1 1 -0.821 -1.038 1.109 -0.462 -2.081 -1.11 0.311
1 1 -1.312 0.537 0.244 0.795 -0.436 0.564 -0.183
1 1 -0.981 0.42 0.027 -1.236 -0.987 0.319 -0.211
1 1 -1.727 0.404 0.993 0.174 -1.53 0.826 0.213
1 1 0.159 1.362 0.589 0.465 0.996 -1.23 -0.425
1 1 -1.037 0.197 -0.696 2.276 1.862 1.33 0.243
1 1 -1.103 -0.286 0.819 -1.611 -1.422 -0.369 -0.433
0 1 0.338 -1.184 1.3 -0.452 -0.227 -1.44 -0.962
1 1 -1.212 1.196 -0.936 1.312 -1.266 0.629 -0.372
1 1 -1.781 -0.681 1.316 1.335 -0.849 0.68 1.464
1 1 0.115 -0.382 1.114 -0.261 1.241 -0.159 0.644
1 1 0.635 1.208 -0.611 -0.4 -1.426 0.06 1.171
0 1 0.185 0.642 -0.68 0.307 1.593 0.415 -1.15
1 1 0.364 1.233 0.634 -0.638 -1.285 0.782 -1.374
0 1 1.115 -0.338 0.37 0.446 1.494 -2.095 -0.238
1 1 -0.747 -1.413 0.115 -0.872 -1.523 0.82 -1.166
0 1 0.999 -1.058 -0.371 -1.456 -0.245 -0.423 0.487
0 1 1.217 -0.022 0.897 -0.35 -1.036 -0.551 0.722
0 1 0.391 -0.135 0.302 -0.672 0.945 -0.254 -0.126
1 1 2.251 0.087 -0.981 2.245 1.294 0.967 -0.738
1 1 -1.423 -1.505 -0.739 0.099 0.706 1.044 1.446
1 1 -1.019 -0.952 -1.155 1.275 -0.944 1.5 -0.871
0 1 -0.637 -0.409 0.318 -1.015 0.394 -1.494 -0.895
0 1 0.474 1.158 0.044 -2.045 -0.195 0.375 1.668
0 1 -1.038 1.134 -1.065 -0.334 -0.597 0.21 -1.374
1 1 0.421 0.879 2.427 0.228 1.297 1.405 0.475
1 1 -0.245 0.238 1.041 1.104 0.014 -0.223 0.383
1 1 -0.129 0.355 1.769 -0.795 0.184 0.626 0.89
1 1 -0.539 -1.951 0.162 -1.516 -0.496 0.164 -0.344
0 1 1.064 0.152 1.979 -0.702 -0.056 -2.514 -1.277
0 1 -0.455 0.282 -1.828 1.085 -0.229 -2.09 -1.292
1 1 2.03 1.121 -1.171 0.714 -2.497 1.253 -0.816
0 1 0.421 0.089 -0.475 1.063 -0.064 -1.022 0.327
0 1 0.879 0.696 0.079 -0.296 -0.531 0.276 0.381
1 1 -1.31 -0.988 0.742 -0.955 -1.071 0.974 0.478
1 1 0.055 1.014 -1.259 0.203 -0.062 -0.045 1.02
1 1 -1.44 0.299 0.506 1.016 0.195 -0.171 0.086
1 1 1.031 1.552 1.773 1.083 -1.134 0.813 0.856
0 1 -1.225 0.93 -0.28 0.184 -0.384 -2.237 -1.347
1 1 1.412 -0.137 1.174 0.243 0.063 0.444 -0.424
1 1 0.89 1.968 1.303 -0.944 0.412 -0.628 1.565
1 1 0.299 -0.23 0.682 0.967 1.022 -0.958 2.05
1 1 -2.16 -0.737 0.745 0.927 0.844 -1.15 -0.461
1 1 -0.503 0.74 -0.857 0.607 -0.557 0.104 -0.558
1 1 0.056 0.119 -0.017 0.899 0.005 -0.457 0.443
1 1 -1.44 0.634 0.554 0.679 -1.644 -0.145 -1.879
0 1 1.536 -1.22 -0.945 0.431 -0.197 0.965 -1.095
1 1 -0.968 0.195 -1.167 1.921 0.364 0.793 0.62
0 1 0.456 1.239 -0.113 0.852 0.053 -0.789 -0.653
1 1 1.131 -2.045 0.259 -0.33 0.208 0.497 0.855
0 1 -1.857 -0.347 -2 0.619 0.734 -0.216 0.358
0 1 0.819 0.51 0.138 0.123 -0.213 -0.388 -0.447
